EGX95479.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA74936.1:Cordyceps_confragosa_RCEF_1005_(ascomycetes)76	51.703	323	121	6	4	298	16	331	8.75e-099	294
EGX95479.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA42038.1:Beauveria_brongniartii_RCEF_3172_(ascomycetes)16	49.852	337	124	5	1	298	12	342	2.20e-095	286
EGX95479.1:Cordyceps_militaris_CM01_(ascomycetes)1	EJP68620.1:Beauveria_bassiana_ARSEF_2860_(ascomycetes)15	60.090	223	84	2	80	298	1	222	1.80e-080	243
EGX95480.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA81293.1:Cordyceps_confragosa_RCEF_1005_(ascomycetes)8	87.676	568	42	3	1	542	1	566	0.0	979
EGX95480.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA62145.1:Cordyceps_fumosorosea_ARSEF_2679_(ascomycetes)12	88.307	573	40	3	1	546	1	573	0.0	974
EGX95480.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA31967.1:Moelleriella_libera_RCEF_2490_(ascomycetes)32	66.172	606	126	13	1	546	1	587	0.0	756
EGX95481.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA81294.1:Cordyceps_confragosa_RCEF_1005_(ascomycetes)8	91.057	492	43	1	1	492	1	491	0.0	909
EGX95481.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA62147.1:Cordyceps_fumosorosea_ARSEF_2679_(ascomycetes)12	91.700	494	38	2	1	492	1	493	0.0	895
EGX95481.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA31966.1:Moelleriella_libera_RCEF_2490_(ascomycetes)32	71.556	450	128	0	42	491	17	466	0.0	672
EGX95482.1:Cordyceps_militaris_CM01_(ascomycetes)1	OAA81295.1:Cordyceps_confragosa_RCEF_1005_(ascomycetes)8	81.034	290	40	4	1	282	1	283	9.84e-160	444
